"","recipient_country_code","total_entries","total_spent","geolocation_entries","exactness_entries","geolocation_percentage","exactness_percentage"
"217","SH",1,23771.23,1,0,1,0
"218","679",384,2007681573,384,0,1,0
"219","889",1610,177873941,1610,0,1,0
"220","89",22,31084719.604136,16,0,0.727272727272727,0
"221","US ",1,19347.69,0,1,0,1
"222","Africa Unspecified",5,96300190,0,0,0,0
"223","Oceania Unallocated",1,78870.021,0,0,0,0
"224","189",3,221565.6992,0,0,0,0
"225","298",8,237383.335584,0,0,0,0
"226","389",8,144725.218432,0,0,0,0
"227","489",11,218209.882696,0,0,0,0
"228","498",9,576599.90608,0,0,0,0
"229","998",19,3784869.865352,0,0,0,0
"230","ZR",1,25055156.655,0,0,0,0
"231","AU",9,345033.06,0,9,0,1
"232","IE",3,21313,0,3,0,1
"233","IO",1,6149,0,1,0,1
"234","IS",4,23430.64,0,4,0,1
"235","LU",1,5242,0,1,0,1
"236","MF",1,18505,0,1,0,1
"237","NO",3,34732,0,3,0,1
"238","NZ",8,140927,0,8,0,1
"239","TC",5,65109,0,5,0,1
"240","TW",20,265072.01,0,0,0,0
"241","VA",2,46753,0,2,0,1
